high,t_k,t_c,p_a,p_m,ro,a
0, 288.15, 15, 101325, 760, 1.225, 340.294
0.5, 284.9, 11.75, 95461.3, 716.019, 1.16727, 338.37
1, 281.65, 8.501, 89876.3, 674.128, 1.11166, 336.435
1.5, 278.4, 5.252, 84559.7, 634.25, 1.0581, 334.489
2, 275.15, 2.004, 79501.4, 596.31, 1.00655, 332.532
2.5, 271.91, -1.244, 74691.7, 560.234, 0.956954, 330.563
3, 268.66, -4.491, 70121.2, 525.952, 0.909254, 328.584
3.5, 265.41, -7.737, 65780.4, 493.393, 0.863402, 326.592
4, 262.17, -10.98, 61660.4, 462.491, 0.819347, 324.589
4.5, 258.92, -14.23, 57752.6, 433.18, 0.777038, 322.573
5, 255.68, -17.47, 54048.3, 405.395, 0.736429, 320.545
5.5, 252.43, -20.72, 50539.3, 379.076, 0.697469, 318.505
6, 249.19, -20.72, 47217.6, 354.161, 0.660111, 316.452
6.5, 245.94, -27.21, 44075.5, 330.593, 0.62431, 314.485
7, 242.7, -30.45, 41105.3, 308.315, 0.590018, 312.406
7.5, 239.46, -33.69, 38299.7, 287.271, 0.557192, 310.212
8, 236.22, -36.94, 35651.6, 267.409, 0.525786, 308.105
8.5, 232.97, -40.18, 33154.2, 248.677, 0.495757, 305.984
9, 229.73, -43.42, 30800.7, 231.024, 0.467063, 303.848
9.5, 226.73, -46.66, 28584.7, 214.403, 0.439661, 301.697
10, 223.25, -49.9, 26499.9, 198.765, 0.41351, 299.532
10.5, 220.01, -53.19, 24520.2, 184.067, 0.38857, 297.351
11, 216.77, -56.38, 22699.9,170.264, 0.364801, 295.154
11.5, 216.65, -56.5, 20984.7, 157.398, 0.337429, 295.069
12, 216.65, -56.5, 19399.4, 145.507, 0.311937, 295.069
12.5, 216.65, -56.5, 17934, 134.516, 0.288375, 295.070
13, 216.65, -56.5, 16579.4, 124.357, 0.266375, 295.070
14, 216.65, -56.5, 14170.3, 106.286, 0.227855, 295.071
15, 216.65, -56.5, 12111.8, 90.846, 0.194755, 295.071
16, 216.65, -56.5, 10352.8, 77.652, 0.16647, 295.072
